state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
California,2009,46.7,29.9,36.4,58931,8.0819,36961664,50.1,34.9,62.7,2.37148793993704,59.9
Colorado,2009,45.300000000000004,35.9,39.2,55430,7.3605,5024748,50.3,35.7,84.6,0.48484076939294285,62.1
Connecticut,2009,48,35.6,40.3,67034,9.2807,3518288,48.8,39.5,79.1,7.265626677962606,65.8
Delaware,2009,43.4,28.7,38.1,56860,7.3308,885122,48.5,38.2,71.9,4.54245570503668,64.3
District of Columbia,2009,53.2,48.5,57.2,59290,9.2068,599657,47,35.1,38.7,98.10147324474384,62.8
Florida,2009,46.9,25.3,33.2,44736,6.2441,18537969,49.1,40.1,76.9,3.4551327211250356,50.4
Georgia,2009,46.9,27.5,35.3,47590,6.4461,9829211,49.1,34.6,61.9,1.7029978252935936,49.2
Hawaii,2009,42.5,29.6,33.8,64098,7.9329,1295178,50.5,37.9,26.9,2.01663216435906,68.7
Idaho,2009,42.1,23.9,32.8,44926,5.6859,1545801,50.2,34.2,92.3,0.18704076107058143,54.1
Illinois,2009,46.9,30.6,36.1,53966,7.3373,12910409,49.3,36.2,72.5,2.3256461440639504,67.6
Indiana,2009,43.4,22.5,32.2,45424,5.8671,6423113,49.2,36.8,85.7,1.7928548772668367,60.8
Iowa,2009,43.1,25.1,34.1,48044,6.1232,3007857,49.3,38,92.3,0.5385268140358627,50.7
Kansas,2009,44.4,29.5,35.5,47817,6.3062,2818747,49.6,35.9,86.3,0.34476472466886493,51.7
Kentucky,2009,46.400000000000006,21,32.2,40072,5.4068,4314113,48.9,37.7,88.8,1.0924103565592462,50.7
Louisiana,2009,47.3,21.4,31.5,42492,5.9019,4492076,48.6,35.6,63.7,1.0395743725572766,37.5
Maine,2009,43.2,26.9,34.8,45734,5.8352,1318301,48.8,42.2,94.9,0.42739493538454876,84.2
Maryland,2009,44.800000000000004,35.7,43.3,69272,9.0879,5699478,48.5,37.7,60.2,5.8689506876266195,61.5
Massachusetts,2009,46.800000000000004,38.2,42.9,64081,8.5514,6593587,48.6,39,82.4,8.45227781897388,77.3
Michigan,2009,45.300000000000004,24.6,33.4,45255,6.0102,9969727,49.2,38.5,79.9,1.7611762415481769,55.2
Minnesota,2009,43.9,31.5,37.9,55616,7.1342,5266215,49.7,37.5,87.4,0.6613616103972559,55.6
Mississippi,2009,47,19.6,30.5,36646,5.0306,2951996,48.6,35.1,59.6,0.6290946244346882,38.3
Missouri,2009,45,25.2,33.9,45229,5.9707,5987580,48.9,37.6,83.9,0.8709664560994228,49.1
Montana,2009,43.1,27.4,33.9,42322,5.4472,974989,49.8,39.3,89.4,0.06698636330802679,65.1
Nebraska,2009,44,27.4,35.1,47357,6.1318,1796622,49.6,35.8,88.1,0.23388071782770922,45
Nevada,2009,43.3,21.8,27.5,53341,6.8626,2643085,50.9,35.5,76.2,0.24058564414427563,60.3
New Hampshire,2009,43.1,32,38.3,60567,7.7008,1324575,49.4,40.4,94.5,1.4793516418034374,70
New Jersey,2009,46.5,34.5,39.3,68342,9.1907,8707740,49,38.7,70.7,11.839488816890661,62.6
New Mexico,2009,45.300000000000004,25.3,33.5,43028,5.7447,2009671,49.2,35.5,72.5,0.16566033848146935,64.7
New York,2009,50.2,32.4,38.5,54659,7.9947,19541453,48.6,38.1,67.4,4.146864932775602,78
North Carolina,2009,46.400000000000006,26.5,35.8,43674,5.97,9380884,48.8,36.9,70.5,1.9293048521638099,51.9
North Dakota,2009,45,25.8,34.2,47827,6.2268,646844,50.1,37,90.2,0.09375330764613739,41
Ohio,2009,45.300000000000004,24.1,34,45395,5.9894,11542645,48.8,38.5,84,2.8250124004990913,57.2
Oklahoma,2009,46,22.7,32.6,41664,5.6793,3687050,49.3,35.7,75.4,0.5374981638719801,43
Oregon,2009,44.3,29.2,36.1,48457,6.2964,3825657,49.5,38,85.6,0.39852267751078574,97.3
Pennsylvania,2009,46,26.4,35.9,49520,6.6493,12604767,48.7,39.9,83.5,2.8171982940464746,64.5
Rhode Island,2009,45.7,30.5,37.5,54119,7.1442,1053209,48.5,39.4,82.6,10.186855304187723,72.2
South Carolina,2009,46.2,24.3,32.4,42442,5.7062,4561242,48.7,37.5,67.6,1.517161801992834,46.7
South Dakota,2009,45.2,25.1,33.4,45043,5.8664,812383,49.7,36.8,86.3,0.10716262766558905,43.6
Tennessee,2009,46.7,23,33.1,41725,5.679,6296254,48.8,37.7,79.1,1.5270085239790974,48.4
Texas,2009,47.4,25.5,33.8,48259,6.7134,24782302,49.9,33.1,73.8,0.9485387547705575,57.4
Utah,2009,41.4,28.5,35,55117,6.9025,2784572,50.4,28.9,89.3,0.33802844609037763,60.4
Vermont,2009,42.8,33.1,40.1,51618,6.4907,621760,49.3,41.5,95.8,0.6745612265084705,100
Virginia,2009,45.6,34,41.5,59330,8.0389,7882590,49.1,37,70.4,1.9964963547964953,34.5
Washington,2009,43.9,31,38.3,56548,7.308,6664195,49.9,36.9,80.2,1.002805586285541,84.9
West Virginia,2009,46.300000000000004,17.3,30.6,37435,5.0674,1819777,49.1,40.8,94.3,0.7569425029046628,53.9
Wisconsin,2009,43.2,25.7,33.4,49993,6.3595,5654774,49.7,38.4,88.4,1.0439486105622076,53.6
Wyoming,2009,41.5,23.8,31.6,52664,6.5931,544270,51.3,36.7,91.3,0.05605901724194148,67.4
Alabama,2010,47.199999999999996,21.9,31.9,40474,5.5778,4785298,48.5,37.8,69.5,0.9448309345013582,39.1
Alaska,2010,42.199999999999996,27.9,35.1,64576,8.129,713985,52.2,33.8,67.4,0.012503611373313852,68
Arizona,2010,45.5,25.9,35.6,46789,6.2838,6413737,49.7,35.9,79.4,0.5643184660507187,59.1
Arkansas,2010,45.800000000000004,19.5,30.9,38307,5.2382,2921606,49,37.3,78.4,0.5619249713055503,41.8
California,2010,47.099999999999994,30.1,36.5,57708,7.9465,37349363,49.7,35.2,62.4,2.3963629970455527,50.8
Colorado,2010,45.7,36.4,39.7,54046,7.2423,5049071,50.1,36,83.3,0.48718770938554434,67.4
Connecticut,2010,48.6,35.5,40.6,64032,9.0074,3577073,48.6,40,78.2,7.387023750704812,61.3
Delaware,2010,44,27.8,37.7,55847,7.255,899769,48.5,38.8,70.7,4.617624267914648,71.1
District of Columbia,2010,53.2,50.1,59.2,60903,9.2959,604453,47.3,33.9,40.2,98.88607955415371,65.3
Florida,2010,47.4,25.8,33.5,44409,6.1877,18843326,48.9,40.7,76.5,3.512045588026721,50.8
Georgia,2010,46.800000000000004,27.3,35.4,46430,6.2967,9712587,48.8,35.4,60.7,1.682791684803066,49.1
Hawaii,2010,43.3,29.5,33,63030,7.956,1363621,50.2,38.7,24.6,2.1232000301081904,66.3
Idaho,2010,43.3,24.4,33.6,43490,5.6086,1571450,50.1,34.7,92.2,0.19014427082422972,56.1
Illinois,2010,46.5,30.8,36.1,52972,7.2022,12843166,49,36.6,72.5,2.313533171991161,64.8
Indiana,2010,44,22.7,32.3,44613,5.8451,6490621,49.3,36.9,85.1,1.8116980841440207,56.5
Iowa,2010,42.699999999999996,24.9,33.5,47961,6.0901,3049883,49.4,38.2,91.5,0.5460511504277428,47.6
Kansas,2010,44.5,29.8,35.6,48257,6.3094,2859169,49.6,36.2,85.2,0.3497087936827086,50.7
Kentucky,2010,46.6,20.5,32.3,40062,5.432,4346266,49.2,38,88.3,1.100552069628526,51.5
Louisiana,2010,47.5,21.4,31.4,42505,5.9116,4544228,49,35.9,62.8,1.0516435990524666,39.1
Maine,2010,43.7,26.8,35.9,45815,5.93,1327567,48.9,42.7,95.3,0.4303989848931763,74.8
Maryland,2010,44.3,36.1,44.1,68854,8.9563,5785982,48.4,38,58.9,5.958026864476931,60.8
